event_definition,coding_system,code,code_name,concept,concept_name,tags,system,event_abbreviation,type,code_original
Alcohol abuse,ICD10,E24.4,Alcohol-induced pseudo-Cushing-s syndrome,C0342446,Alcohol-induced pseudo-Cushing-s syndrome,narrow,Ment,ALCABUSE,COV,E24.4
Alcohol abuse,ICD10,F10,Mental and behavioural disorders due to use of alcohol,C0349096,Alcohol-related mental disorders,narrow,Ment,ALCABUSE,COV,F10
Alcohol abuse,ICD10,F10.0,Mental and behavioural disorders due to use of alcohol- acute intoxication,"","",narrow,Ment,ALCABUSE,COV,F10.0
Alcohol abuse,ICD10,F10.1,Mental and behavioural disorders due to use of alcohol- harmful use,"","",narrow,Ment,ALCABUSE,COV,F10.1
Alcohol abuse,ICD10,F10.2,Mental and behavioural disorders due to use of alcohol- dependence syndrome,C0001973,Alcoholic Intoxication- Chronic,narrow,Ment,ALCABUSE,COV,F10.2
Alcohol abuse,ICD10,F10.3,Mental and behavioural disorders due to use of alcohol- withdrawal state,"","",narrow,Ment,ALCABUSE,COV,F10.3
Alcohol abuse,ICD10,F10.4,Mental and behavioural disorders due to use of alcohol- withdrawal state with delirium,C0001957,Alcohol Withdrawal Delirium,narrow,Ment,ALCABUSE,COV,F10.4
Alcohol abuse,ICD10,F10.5,Mental and behavioural disorders due to use of alcohol- psychotic disorder,C0033936,Psychoses- Alcoholic,narrow,Ment,ALCABUSE,COV,F10.5
Alcohol abuse,ICD10,F10.6,Mental and behavioural disorders due to use of alcohol- amnesic syndrome,C0001940,Alcohol Amnestic Disorder,narrow,Ment,ALCABUSE,COV,F10.6
Alcohol abuse,ICD10,F10.7,Mental and behavioural disorders due to use of alcohol- residual and late-onset psychotic disorder,"","",narrow,Ment,ALCABUSE,COV,F10.7
Alcohol abuse,ICD10,F10.8,Mental and behavioural disorders due to use of alcohol- other mental and behavioural disorders,"","",narrow,Ment,ALCABUSE,COV,F10.8
Alcohol abuse,ICD10,F10.9,Mental and behavioural disorders due to use of alcohol- unspecified mental and behavioural disorder,"","",narrow,Ment,ALCABUSE,COV,F10.9
Alcohol abuse,ICD10,G31.2,Degeneration of nervous system due to alcohol,C0494466,Degeneration of nervous system due to alcohol,narrow,Ment,ALCABUSE,COV,G31.2
Alcohol abuse,ICD10,G62.1,Alcoholic polyneuropathy,C0085677,Alcoholic Neuropathy,narrow,Ment,ALCABUSE,COV,G62.1
Alcohol abuse,ICD10,G72.1,Alcoholic myopathy,C0270985,Alcohol myopathy,narrow,Ment,ALCABUSE,COV,G72.1
Alcohol abuse,ICD10,I42.6,Alcoholic cardiomyopathy,C0007192,Cardiomyopathy- Alcoholic,narrow,Ment,ALCABUSE,COV,I42.6
Alcohol abuse,ICD10,K29.2,Alcoholic gastritis,C0156076,Alcoholic gastritis,narrow,Ment,ALCABUSE,COV,K29.2
Alcohol abuse,ICD10,K70,Alcoholic liver disease,C0023896,Alcoholic Liver Diseases,narrow,Ment,ALCABUSE,COV,K70
Alcohol abuse,ICD10,K70.0,Alcoholic fatty liver,C0015696,Fatty Liver- Alcoholic,narrow,Ment,ALCABUSE,COV,K70.0
Alcohol abuse,ICD10,K70.1,Alcoholic hepatitis,C0019187,Hepatitis- Alcoholic,narrow,Ment,ALCABUSE,COV,K70.1
Alcohol abuse,ICD10,K70.2,Alcoholic fibrosis and sclerosis of liver,"","",narrow,Ment,ALCABUSE,COV,K70.2
Alcohol abuse,ICD10,K70.3,Alcoholic cirrhosis of liver,C0023891,Liver Cirrhosis- Alcoholic,narrow,Ment,ALCABUSE,COV,K70.3
Alcohol abuse,ICD10,K70.4,Alcoholic hepatic failure,"","",narrow,Ment,ALCABUSE,COV,K70.4
Alcohol abuse,ICD10,K70.9,Alcoholic liver disease- unspecified,"","",narrow,Ment,ALCABUSE,COV,K70.9
Alcohol abuse,ICD10,K86.0,Alcohol-induced chronic pancreatitis,C0341470,Alcohol-induced chronic pancreatitis,narrow,Ment,ALCABUSE,COV,K86.0
Alcohol abuse,ICD10,T51.0,Ethanol,C0161679,Toxic effect of ethyl alcohol,narrow,Ment,ALCABUSE,COV,T51.0
Alcohol abuse,ICD10,Y91.1,Moderate alcohol intoxication,C0496557,Moderate alcohol intoxication,narrow,Ment,ALCABUSE,COV,Y91.1
Alcohol abuse,ICD10,Y91.2,Severe alcohol intoxication,C0496558,Severe alcohol intoxication,narrow,Ment,ALCABUSE,COV,Y91.2
Alcohol abuse,ICD10,Y91.3,Very severe alcohol intoxication,C0496559,Very severe alcohol intoxication,narrow,Ment,ALCABUSE,COV,Y91.3
Alcohol abuse,ICD10,Z72.1,Alcohol use,C0001948,Alcohol consumption,possible,Ment,ALCABUSE,COV,Z72.1
Alcohol abuse,ICD10CM,E24.4,Alcohol-induced pseudo-Cushing-s syndrome,C0342446,Alcohol-induced pseudo-Cushing-s syndrome,narrow,Ment,ALCABUSE,COV,E24.4
Alcohol abuse,ICD10CM,F10,Alcohol related disorders,C0236664,Alcohol Related Disorders,narrow,Ment,ALCABUSE,COV,F10
Alcohol abuse,ICD10CM,F10.0,Mental and behavioural disorders due to use of alcohol- acute intoxication,C0394996,Acute alcoholic intoxication,narrow,Ment,ALCABUSE,COV,F10.0
Alcohol abuse,ICD10CM,F10.1,Alcohol abuse,C0085762,Alcohol abuse,narrow,Ment,ALCABUSE,COV,F10.1
Alcohol abuse,ICD10CM,F10.2,Mental and behavioural disorders due to use of alcohol- dependence syndrome,C0001973,Alcoholic Intoxication- Chronic,narrow,Ment,ALCABUSE,COV,F10.2
Alcohol abuse,ICD10CM,F10.3,Mental and behavioural disorders due to use of alcohol- withdrawal state,C0494375,Mental and behavioral disorders due to use of alcohol- withdrawal state,narrow,Ment,ALCABUSE,COV,F10.3
Alcohol abuse,ICD10CM,F10.4,Mental and behavioural disorders due to use of alcohol- withdrawal state with delirium,C0001957,Alcohol Withdrawal Delirium,narrow,Ment,ALCABUSE,COV,F10.4
Alcohol abuse,ICD10CM,F10.5,Mental and behavioural disorders due to use of alcohol- psychotic disorder,C0033936,Psychoses- Alcoholic,narrow,Ment,ALCABUSE,COV,F10.5
